id|order_number|customer_id|showroom_id|product_id|quantity|discount|amount|delivered|card_type|card_number|txn_date|update_date|create_date
1072|709246695-4|848|5|741|1|11328|0|0|jcb|3558481363099096|2018-01-07|2018-01-07 09:28:32|2018-01-07 09:28:32
1073|998279851-0|174|9|774|1|10796|0|1|jcb|3549231035409864|2018-01-24|2018-01-24 20:43:34|2018-01-24 20:43:34
1074|215498234-4|687|15|492|1|13380|0|1|china-unionpay|560224713674741823|2018-01-14|2018-01-14 14:38:59|2018-01-14 14:38:59
1075|646733350-0|753|10|584|1|8123|0|0|jcb|3551572342200727|2018-01-15|2018-01-15 13:33:33|2018-01-15 13:33:33
1076|307303027-1|604|14|870|1|8958|0|0|americanexpress|370865614192761|2018-01-13|2018-01-13 11:16:50|2018-01-13 11:16:50
1077|992447565-8|206|15|207|1|10207|0|0|jcb|3559838576808028|2018-01-19|2018-01-19 16:36:44|2018-01-19 16:36:44
1078|682760502-7|162|10|44|1|14229|0|0|diners-club-carte-blanche|30099700889831|2018-01-01|2018-01-01 06:19:31|2018-01-01 06:19:31
1079|805707808-1|981|13|24|1|9625|0|0|jcb|3567140288162640|2018-01-03|2018-01-03 08:58:50|2018-01-03 08:58:50
1080|017921735-6|227|2|990|1|10832|0|0|jcb|3540875744656915|2018-01-20|2018-01-20 08:46:54|2018-01-20 08:46:54
1081|696947855-6|44|9|2|1|8776|0|0|jcb|3541928631808575|2018-01-23|2018-01-23 06:39:34|2018-01-23 06:39:34
1082|411069577-5|577|3|867|1|11601|0|1|diners-club-international|36733593641750|2018-01-15|2018-01-15 10:01:47|2018-01-15 10:01:47
1083|930465916-7|715|5|99|1|8788|0|1|diners-club-enroute|201576120621848|2018-01-13|2018-01-13 02:11:44|2018-01-13 02:11:44
1084|606763325-6|115|9|150|1|8717|0|1|jcb|3531258797530033|2018-01-19|2018-01-19 20:37:38|2018-01-19 20:37:38
1085|274997593-X|170|6|529|1|8168|0|1|instapayment|6399416965958857|2018-01-21|2018-01-21 22:51:16|2018-01-21 22:51:16
1086|809435105-5|769|3|913|1|8978|0|1|diners-club-carte-blanche|30158432024560|2018-01-18|2018-01-18 17:21:11|2018-01-18 17:21:11
1087|669914336-0|396|7|520|1|13181|0|1|jcb|3579503165194331|2018-01-18|2018-01-18 08:57:51|2018-01-18 08:57:51
1088|869188555-6|915|15|572|1|12247|0|1|bankcard|5602252689971818|2018-01-19|2018-01-19 13:28:44|2018-01-19 13:28:44
1089|089086408-X|691|7|566|1|8202|0|0|jcb|3587990373325650|2018-01-22|2018-01-22 11:50:16|2018-01-22 11:50:16
1090|464110227-9|19|4|946|1|7939|0|1|jcb|3553178972686892|2018-01-22|2018-01-22 08:47:46|2018-01-22 08:47:46
1091|843181612-0|371|7|67|1|11119|0|0|jcb|3562798775591160|2018-01-25|2018-01-25 23:26:30|2018-01-25 23:26:30
1092|741743229-8|599|9|136|1|8757|0|1|mastercard|5002358744940312|2018-01-01|2018-01-01 07:28:16|2018-01-01 07:28:16
1093|359477831-2|880|14|306|1|9074|0|0|jcb|3584136213385909|2018-01-06|2018-01-06 06:29:01|2018-01-06 06:29:01
1094|326862691-2|368|6|466|1|11134|0|1|mastercard|5100134817503704|2018-01-18|2018-01-18 00:56:02|2018-01-18 00:56:02
1095|639323756-2|491|11|14|1|10523|0|1|diners-club-international|36353876511461|2018-01-07|2018-01-07 17:48:45|2018-01-07 17:48:45
1096|570095520-2|25|3|461|1|8504|0|1|china-unionpay|5610113265936414469|2018-01-24|2018-01-24 20:40:56|2018-01-24 20:40:56
1097|159848254-8|233|11|193|1|11849|0|0|maestro|5018895488508347251|2018-01-20|2018-01-20 11:36:26|2018-01-20 11:36:26
1098|532873462-9|623|1|267|1|10495|0|0|jcb|3566546675152310|2018-01-23|2018-01-23 18:33:53|2018-01-23 18:33:53
1099|522558195-1|593|8|619|1|11520|0|0|switch|6333110171516679|2018-01-07|2018-01-07 19:37:18|2018-01-07 19:37:18
1100|298893650-1|249|11|218|1|7214|0|0|jcb|3544831077023591|2018-01-09|2018-01-09 19:32:04|2018-01-09 19:32:04
1101|713496949-5|408|3|838|1|7063|0|1|mastercard|5010128515621262|2018-01-30|2018-01-30 15:33:28|2018-01-30 15:33:28
1102|592838203-0|435|10|338|1|11439|0|1|diners-club-international|36250609508766|2018-01-10|2018-01-10 02:58:52|2018-01-10 02:58:52
1103|015209072-X|700|13|137|1|11607|0|0|jcb|3567487228786115|2018-01-16|2018-01-16 22:07:07|2018-01-16 22:07:07
1104|578778346-8|261|4|879|1|11747|0|1|jcb|3561723542285392|2018-01-21|2018-01-21 20:43:13|2018-01-21 20:43:13
1105|819236468-2|310|13|22|1|10805|0|0|laser|6706022401423145846|2018-01-23|2018-01-23 07:49:56|2018-01-23 07:49:56
1106|002397752-3|554|10|583|1|7420|0|0|jcb|3554614757603578|2018-01-17|2018-01-17 08:49:34|2018-01-17 08:49:34
1107|820536891-0|43|14|917|1|9191|0|1|maestro|5038341160212505|2018-01-22|2018-01-22 17:27:00|2018-01-22 17:27:00
1108|820078914-4|961|1|421|1|12789|0|0|jcb|3555273299432795|2018-01-06|2018-01-06 14:31:13|2018-01-06 14:31:13
1109|264290022-3|712|2|263|1|9061|0|1|laser|677180933374487840|2018-01-04|2018-01-04 10:21:00|2018-01-04 10:21:00
1110|549663196-3|102|9|507|1|11089|0|1|maestro|0604060767735909509|2018-01-02|2018-01-02 19:31:32|2018-01-02 19:31:32
1111|176615625-8|343|4|993|1|9647|0|0|jcb|3541187421172151|2018-01-01|2018-01-01 19:48:39|2018-01-01 19:48:39
1112|359807058-6|4|13|257|1|11928|0|1|switch|4911607407602400|2018-01-11|2018-01-11 03:55:46|2018-01-11 03:55:46
1113|186337447-7|753|7|871|1|11672|0|1|visa|4017957955936830|2018-01-06|2018-01-06 08:14:22|2018-01-06 08:14:22
1114|492018813-7|418|9|595|1|7847|0|1|jcb|3580896979807727|2018-01-24|2018-01-24 14:33:48|2018-01-24 14:33:48
1115|344121503-6|568|2|269|1|10419|0|1|switch|491148044612648560|2018-01-19|2018-01-19 06:26:54|2018-01-19 06:26:54
1116|928097205-7|789|5|126|1|8397|0|1|laser|6706348623906489790|2018-01-26|2018-01-26 23:33:12|2018-01-26 23:33:12
1117|867737820-0|24|4|665|1|12118|0|0|mastercard|5007665488253156|2018-01-08|2018-01-08 11:03:05|2018-01-08 11:03:05
1118|841262245-6|907|12|241|1|8758|0|0|jcb|3546150387400615|2018-01-30|2018-01-30 06:03:01|2018-01-30 06:03:01
1119|219232412-X|997|14|711|1|9843|0|0|laser|630437677735031645|2018-01-29|2018-01-29 05:59:51|2018-01-29 05:59:51
1120|787764438-8|336|7|974|1|7875|0|0|china-unionpay|5602252194871407619|2018-01-29|2018-01-29 13:16:24|2018-01-29 13:16:24
1121|820792535-3|705|11|70|1|10770|0|0|jcb|3587430347662672|2018-01-02|2018-01-02 07:30:18|2018-01-02 07:30:18
1122|741477552-6|677|10|193|1|8942|0|1|jcb|3579883600537264|2018-01-23|2018-01-23 06:56:05|2018-01-23 06:56:05
1123|332557637-0|327|15|773|1|8822|0|0|visa-electron|4175008166998470|2018-01-30|2018-01-30 02:07:25|2018-01-30 02:07:25
1124|486855004-7|163|8|198|1|9246|0|1|instapayment|6386440898460638|2018-01-22|2018-01-22 22:10:01|2018-01-22 22:10:01
1125|457000053-3|23|11|756|1|7560|0|1|jcb|3565171338288129|2018-01-29|2018-01-29 22:02:53|2018-01-29 22:02:53
1126|269239399-6|212|9|431|1|7974|0|0|maestro|50209318846744282|2018-01-29|2018-01-29 16:45:15|2018-01-29 16:45:15
1127|156596313-X|572|7|329|1|7285|0|0|instapayment|6383752379387053|2018-01-15|2018-01-15 22:20:19|2018-01-15 22:20:19
1128|822469620-0|820|2|602|1|10299|0|0|jcb|3576952403232549|2018-01-15|2018-01-15 19:59:48|2018-01-15 19:59:48
1129|233028103-X|508|2|308|1|10363|0|0|jcb|3537004527191629|2018-01-15|2018-01-15 18:33:43|2018-01-15 18:33:43
1130|442767220-5|568|1|826|1|12204|0|0|jcb|3554078244854501|2018-01-27|2018-01-27 10:02:27|2018-01-27 10:02:27
1131|473775225-8|567|14|953|1|11566|0|0|switch|6333893385343398941|2018-01-12|2018-01-12 23:56:47|2018-01-12 23:56:47
1132|258879926-4|264|1|926|1|8233|0|0|laser|6709018705494600|2018-01-03|2018-01-03 06:03:00|2018-01-03 06:03:00
1133|499775213-4|65|14|976|1|11174|0|1|jcb|3536251178119042|2018-01-20|2018-01-20 06:54:07|2018-01-20 06:54:07
1134|037400719-5|285|13|300|1|10083|0|1|bankcard|5610307938813649|2018-01-24|2018-01-24 11:21:45|2018-01-24 11:21:45
1135|142817766-3|786|10|733|1|6680|0|1|maestro|060446148888420943|2018-01-22|2018-01-22 05:42:50|2018-01-22 05:42:50
1136|572046980-X|252|15|764|1|11307|0|1|jcb|3561708540926170|2018-01-20|2018-01-20 18:45:57|2018-01-20 18:45:57
1137|237559668-4|428|1|364|1|13246|0|1|jcb|3551549119002908|2018-01-20|2018-01-20 04:56:17|2018-01-20 04:56:17
1138|848133499-5|298|3|295|1|5378|0|0|jcb|3587490006720385|2018-01-12|2018-01-12 04:04:26|2018-01-12 04:04:26
1139|686247346-8|159|1|680|1|11121|0|1|jcb|3586729334571510|2018-01-24|2018-01-24 17:33:37|2018-01-24 17:33:37
1140|242911091-1|21|10|614|1|8956|0|0|mastercard|5002350836224432|2018-01-16|2018-01-16 05:20:41|2018-01-16 05:20:41
1141|617013038-5|230|10|65|1|13364|0|1|switch|4911926388903367|2018-01-30|2018-01-30 20:06:59|2018-01-30 20:06:59
1142|593351198-6|76|1|708|1|9675|0|1|maestro|6761122524128194|2018-01-27|2018-01-27 16:58:02|2018-01-27 16:58:02
1143|541976554-3|577|1|353|1|9595|0|1|americanexpress|374288735815820|2018-01-25|2018-01-25 17:34:34|2018-01-25 17:34:34
1144|097606878-8|978|2|161|1|12368|0|0|americanexpress|374283847605987|2018-01-12|2018-01-12 16:53:38|2018-01-12 16:53:38
1145|114605256-1|805|15|22|1|10551|0|0|maestro|50200544715705125|2018-01-03|2018-01-03 00:54:02|2018-01-03 00:54:02
1146|327531293-6|962|4|921|1|10238|0|0|mastercard|5596854709350937|2018-01-02|2018-01-02 16:15:50|2018-01-02 16:15:50
1147|305719357-9|952|7|2|1|9841|0|1|mastercard|5100173466156349|2018-01-22|2018-01-22 13:02:17|2018-01-22 13:02:17
1148|494107211-1|514|12|399|1|5560|0|1|mastercard|5542330251794330|2018-01-14|2018-01-14 12:00:16|2018-01-14 12:00:16
1149|366258254-6|113|13|39|1|12126|0|1|jcb|3585276931789872|2018-01-19|2018-01-19 00:31:44|2018-01-19 00:31:44
1150|210466771-2|884|6|189|1|10785|0|1|solo|633461289417437000|2018-01-07|2018-01-07 01:57:10|2018-01-07 01:57:10
1151|613027356-8|855|2|77|1|10559|0|1|jcb|3588632981044856|2018-01-18|2018-01-18 10:30:42|2018-01-18 10:30:42
1152|683906082-9|673|12|796|1|11280|0|0|jcb|3562406103754563|2018-01-03|2018-01-03 16:03:47|2018-01-03 16:03:47
1153|520330891-8|60|1|444|1|10414|0|1|diners-club-carte-blanche|30034515550807|2018-01-14|2018-01-14 00:56:57|2018-01-14 00:56:57
1154|559032860-8|923|13|374|1|10194|0|1|jcb|3552957465325303|2018-01-19|2018-01-19 15:44:41|2018-01-19 15:44:41
1155|227820160-3|806|3|659|1|10606|0|1|mastercard|5048379370517709|2018-01-22|2018-01-22 08:50:59|2018-01-22 08:50:59
1156|855353853-2|323|7|539|1|8606|0|1|mastercard|5337106370409359|2018-01-15|2018-01-15 08:42:03|2018-01-15 08:42:03
1157|706975409-4|107|13|266|1|11427|0|1|china-unionpay|5602220540662893194|2018-01-15|2018-01-15 22:00:46|2018-01-15 22:00:46
1158|714184186-5|986|6|801|1|9410|0|0|maestro|67637789445642463|2018-01-27|2018-01-27 18:35:19|2018-01-27 18:35:19
1159|385286695-2|338|15|731|1|8816|0|1|mastercard|5007669548221286|2018-01-16|2018-01-16 12:58:13|2018-01-16 12:58:13
1160|326849888-4|134|9|695|1|10883|0|1|maestro|6763160396133739826|2018-01-22|2018-01-22 22:25:11|2018-01-22 22:25:11
1161|795364720-6|944|1|383|1|8915|0|1|maestro|5038558005526175|2018-01-10|2018-01-10 06:11:06|2018-01-10 06:11:06
1162|473333134-7|190|11|396|1|9845|0|0|diners-club-enroute|201498214714159|2018-01-11|2018-01-11 04:02:31|2018-01-11 04:02:31
1163|654287987-0|205|8|808|1|6727|0|1|jcb|3537734696165356|2018-01-09|2018-01-09 22:10:27|2018-01-09 22:10:27
1164|726697078-4|79|10|261|1|10550|0|0|laser|677122628336180142|2018-01-23|2018-01-23 14:39:54|2018-01-23 14:39:54
1165|161033723-9|325|11|733|1|13659|0|0|visa|4080794823839538|2018-01-06|2018-01-06 06:24:18|2018-01-06 06:24:18
1166|562139685-5|13|6|595|1|14020|0|1|jcb|3550044879758379|2018-01-26|2018-01-26 12:40:26|2018-01-26 12:40:26
1167|352201388-3|760|11|484|1|8112|0|1|jcb|3585264331461177|2018-01-11|2018-01-11 16:50:09|2018-01-11 16:50:09
1168|006400622-0|359|10|868|1|8650|0|0|jcb|3570430145419746|2018-01-28|2018-01-28 17:26:30|2018-01-28 17:26:30
1169|323664297-1|841|15|771|1|7787|0|0|visa|4017957654376494|2018-01-30|2018-01-30 20:57:09|2018-01-30 20:57:09
1170|663967415-7|497|14|217|1|11285|0|1|mastercard|5208649048558749|2018-01-08|2018-01-08 14:08:23|2018-01-08 14:08:23
1171|893685918-8|739|8|215|1|7579|0|0|switch|4905426611482378|2018-01-12|2018-01-12 11:23:54|2018-01-12 11:23:54
1172|367832999-3|552|12|942|1|10100|0|1|china-unionpay|560224293296941713|2018-01-04|2018-01-04 07:44:08|2018-01-04 07:44:08
1173|044185803-1|939|13|889|1|14625|0|0|jcb|3539469515220573|2018-01-01|2018-01-01 17:08:18|2018-01-01 17:08:18
1174|507957132-2|342|2|726|1|9698|0|0|jcb|3540739271286548|2018-01-21|2018-01-21 16:56:20|2018-01-21 16:56:20
1175|797639427-4|164|9|750|1|7458|0|0|laser|6771207624882860594|2018-01-26|2018-01-26 19:55:58|2018-01-26 19:55:58
1176|199489612-4|4|14|543|1|7941|0|1|mastercard|5348696630307341|2018-01-02|2018-01-02 16:59:38|2018-01-02 16:59:38
1177|980592583-8|746|6|700|1|10623|0|0|maestro|5038770232321443915|2018-01-15|2018-01-15 13:35:41|2018-01-15 13:35:41
1178|727411892-7|20|15|900|1|12484|0|1|jcb|3531665668866272|2018-01-29|2018-01-29 18:20:16|2018-01-29 18:20:16
1179|478764626-5|4|9|184|1|11516|0|1|jcb|3576407354223377|2018-01-27|2018-01-27 07:04:25|2018-01-27 07:04:25
1180|635335841-5|640|6|644|1|9917|0|0|jcb|3574146540964542|2018-01-02|2018-01-02 09:40:51|2018-01-02 09:40:51
1181|208586925-4|210|6|391|1|12887|0|1|americanexpress|374283862564333|2018-01-24|2018-01-24 01:23:03|2018-01-24 01:23:03
1182|105121751-2|761|12|479|1|11211|0|0|visa|4321338469606469|2018-01-06|2018-01-06 09:47:15|2018-01-06 09:47:15
1183|694251604-X|27|8|465|1|9155|0|1|jcb|3581992882293961|2018-01-20|2018-01-20 06:11:46|2018-01-20 06:11:46
1184|958888255-9|167|4|851|1|5935|0|1|china-unionpay|56022588787212141|2018-01-07|2018-01-07 06:21:00|2018-01-07 06:21:00
1185|006092773-9|152|12|584|1|14440|0|0|mastercard|5262791300022494|2018-01-22|2018-01-22 22:44:58|2018-01-22 22:44:58
1186|860617838-1|747|7|488|1|10916|0|0|jcb|3562698258917124|2018-01-12|2018-01-12 04:56:07|2018-01-12 04:56:07
1187|266907670-X|491|4|719|1|10688|0|1|china-unionpay|5602211058574109352|2018-01-25|2018-01-25 04:26:29|2018-01-25 04:26:29
1188|480248740-1|552|13|754|1|9351|0|0|jcb|3585225607797776|2018-01-29|2018-01-29 07:13:08|2018-01-29 07:13:08
1189|030923228-7|981|13|870|1|10385|0|0|jcb|3553989854740528|2018-01-25|2018-01-25 23:00:48|2018-01-25 23:00:48
1190|452209398-5|627|10|667|1|10031|0|1|bankcard|5610605041346716|2018-01-21|2018-01-21 10:43:21|2018-01-21 10:43:21
1191|744705604-9|106|15|162|1|9002|0|0|switch|564182649187471965|2018-01-05|2018-01-05 15:59:35|2018-01-05 15:59:35
1192|082838019-8|978|15|456|1|12909|0|0|jcb|3559848521641986|2018-01-18|2018-01-18 12:02:33|2018-01-18 12:02:33
1193|657163723-5|871|9|28|1|11303|0|0|mastercard|5181103801555873|2018-01-16|2018-01-16 17:17:44|2018-01-16 17:17:44
1194|604741467-2|160|1|145|1|9368|0|1|americanexpress|376546680921135|2018-01-13|2018-01-13 05:10:10|2018-01-13 05:10:10
1195|967871969-X|606|2|557|1|6924|0|1|jcb|3537165624647100|2018-01-21|2018-01-21 08:39:57|2018-01-21 08:39:57
1196|634904623-4|934|8|968|1|7870|0|0|switch|491161252834454202|2018-01-11|2018-01-11 01:54:15|2018-01-11 01:54:15
1197|041606158-3|654|9|1000|1|10333|0|0|maestro|060462801624711798|2018-01-17|2018-01-17 07:36:08|2018-01-17 07:36:08
1198|906890320-9|18|6|788|1|8528|0|0|diners-club-carte-blanche|30262177491065|2018-01-28|2018-01-28 05:07:40|2018-01-28 05:07:40
1199|555244050-1|447|8|621|1|9446|0|1|jcb|3580365346916694|2018-01-05|2018-01-05 19:59:32|2018-01-05 19:59:32
1200|078723728-0|326|14|644|1|7612|0|0|jcb|3547863342907396|2018-01-25|2018-01-25 15:53:20|2018-01-25 15:53:20
1201|643341734-5|977|13|676|1|13302|0|1|jcb|3536624586375895|2018-01-21|2018-01-21 11:29:20|2018-01-21 11:29:20
1202|673246392-6|616|8|880|1|11076|0|1|switch|6759746011508635|2018-01-11|2018-01-11 05:16:11|2018-01-11 05:16:11
1203|171340225-4|163|6|43|1|11397|0|0|americanexpress|337941071541162|2018-01-27|2018-01-27 14:10:23|2018-01-27 14:10:23
1204|443248298-2|585|13|796|1|8537|0|1|jcb|3547992001172347|2018-01-26|2018-01-26 06:07:16|2018-01-26 06:07:16
1205|565692107-7|232|11|295|1|9814|0|0|jcb|3564831284288420|2018-01-10|2018-01-10 01:37:17|2018-01-10 01:37:17
1206|007892535-5|711|1|732|1|11346|0|1|jcb|3585681356384424|2018-01-21|2018-01-21 15:53:19|2018-01-21 15:53:19
1207|105586936-0|621|4|479|1|9343|0|0|diners-club-enroute|201626863363791|2018-01-26|2018-01-26 00:39:34|2018-01-26 00:39:34
1208|820625668-7|83|5|605|1|6937|0|1|maestro|5038815135376438|2018-01-28|2018-01-28 15:43:52|2018-01-28 15:43:52
1209|636146504-7|490|5|207|1|11677|0|1|mastercard|5007664592274885|2018-01-17|2018-01-17 05:40:23|2018-01-17 05:40:23
1210|775519243-1|992|8|349|1|9936|0|0|jcb|3566043984893362|2018-01-21|2018-01-21 05:17:09|2018-01-21 05:17:09
1211|867306538-0|54|5|727|1|13002|0|1|switch|4936960770193915193|2018-01-03|2018-01-03 16:21:41|2018-01-03 16:21:41
1212|901455309-9|921|9|524|1|10243|0|1|americanexpress|374622471877851|2018-01-23|2018-01-23 10:36:29|2018-01-23 10:36:29
1213|556322108-3|917|14|649|1|7396|0|0|jcb|3565354803166588|2018-01-24|2018-01-24 05:21:08|2018-01-24 05:21:08
1214|236798623-1|8|1|559|1|12193|0|0|jcb|3547083965441025|2018-01-24|2018-01-24 17:40:04|2018-01-24 17:40:04
1215|794925993-0|781|15|545|1|9086|0|0|jcb|3533341114138678|2018-01-19|2018-01-19 14:08:20|2018-01-19 14:08:20
1216|926619349-6|838|10|206|1|10867|0|0|jcb|3538588735073230|2018-01-24|2018-01-24 07:52:32|2018-01-24 07:52:32
1217|656501688-7|193|1|483|1|9190|0|0|visa|4041375023914855|2018-01-01|2018-01-01 21:49:59|2018-01-01 21:49:59
1218|123342146-8|999|14|458|1|9108|0|1|visa-electron|4175007076496559|2018-01-23|2018-01-23 02:15:50|2018-01-23 02:15:50
1219|754569197-0|359|12|497|1|6809|0|0|jcb|3564087584371792|2018-01-25|2018-01-25 03:31:58|2018-01-25 03:31:58
1220|095826158-X|123|10|163|1|7307|0|1|visa|4041377013247122|2018-01-01|2018-01-01 16:59:09|2018-01-01 16:59:09
1221|179613134-2|309|13|737|1|12394|0|1|laser|6304217183244193|2018-01-25|2018-01-25 07:12:22|2018-01-25 07:12:22
1222|196510597-1|510|11|449|1|9480|0|0|diners-club-enroute|201857972919856|2018-01-22|2018-01-22 11:24:15|2018-01-22 11:24:15
1223|555136054-7|535|13|626|1|11807|0|1|americanexpress|372301045443480|2018-01-23|2018-01-23 14:21:39|2018-01-23 14:21:39
1224|047236029-9|807|1|937|1|6044|0|1|diners-club-carte-blanche|30015421050305|2018-01-21|2018-01-21 14:46:36|2018-01-21 14:46:36
1225|073924802-2|88|2|58|1|11611|0|0|jcb|3569632400162902|2018-01-27|2018-01-27 17:43:48|2018-01-27 17:43:48
1226|302154137-2|143|9|654|1|10506|0|1|bankcard|5602253357504709|2018-01-28|2018-01-28 03:58:39|2018-01-28 03:58:39
1227|210634793-6|52|12|731|1|10369|0|0|jcb|3549248201403703|2018-01-14|2018-01-14 07:20:05|2018-01-14 07:20:05
1228|502826054-0|8|10|520|1|9401|0|0|laser|67098787051877722|2018-01-11|2018-01-11 06:01:59|2018-01-11 06:01:59
1229|131173725-1|556|4|734|1|9698|0|1|switch|6331104675088188310|2018-01-19|2018-01-19 05:07:01|2018-01-19 05:07:01
1230|203976840-8|952|6|127|1|8487|0|1|jcb|3543172540547911|2018-01-15|2018-01-15 20:56:59|2018-01-15 20:56:59
1231|604560727-9|309|1|241|1|4987|0|0|maestro|676374370056205166|2018-01-02|2018-01-02 05:40:13|2018-01-02 05:40:13
1232|980547188-8|896|14|266|1|9628|0|1|visa|4476812690574|2018-01-14|2018-01-14 06:09:52|2018-01-14 06:09:52
1233|235137964-0|41|2|25|1|12992|0|1|jcb|3560818806586450|2018-01-05|2018-01-05 22:43:50|2018-01-05 22:43:50
1234|731801299-1|394|9|442|1|12994|0|0|bankcard|5602236392732831|2018-01-16|2018-01-16 17:08:02|2018-01-16 17:08:02
1235|809793550-3|324|4|723|1|10843|0|0|visa-electron|4917816789298802|2018-01-28|2018-01-28 08:53:01|2018-01-28 08:53:01
1236|130885745-4|508|1|286|1|8780|0|0|jcb|3582854627756885|2018-01-10|2018-01-10 18:49:37|2018-01-10 18:49:37
1237|447329618-0|996|13|227|1|3661|0|1|jcb|3542689246794696|2018-01-23|2018-01-23 10:15:08|2018-01-23 10:15:08
1238|041284694-2|696|10|340|1|9671|0|0|visa-electron|4508420437408882|2018-01-27|2018-01-27 19:34:03|2018-01-27 19:34:03
1239|284102877-1|676|10|955|1|8440|0|0|jcb|3549764274258451|2018-01-06|2018-01-06 18:12:26|2018-01-06 18:12:26
1240|326930019-0|833|14|830|1|8484|0|1|china-unionpay|5602240625316503|2018-01-15|2018-01-15 19:11:42|2018-01-15 19:11:42
1241|399715214-4|38|7|90|1|15121|0|1|jcb|3582218558911739|2018-01-18|2018-01-18 15:55:41|2018-01-18 15:55:41
1242|017584011-3|448|6|277|1|10932|0|0|switch|4911664715362238531|2018-01-17|2018-01-17 21:35:51|2018-01-17 21:35:51
1243|335419278-X|426|7|181|1|7717|0|1|visa|4041373422146|2018-01-26|2018-01-26 19:35:49|2018-01-26 19:35:49
1244|925915514-2|991|9|411|1|12173|0|1|diners-club-enroute|201410424705265|2018-01-14|2018-01-14 19:34:30|2018-01-14 19:34:30
1245|575768080-6|694|12|674|1|8514|0|1|bankcard|5602256053534797|2018-01-14|2018-01-14 21:17:07|2018-01-14 21:17:07
1246|598693887-9|63|13|396|1|10398|0|0|instapayment|6385595379000384|2018-01-18|2018-01-18 03:33:52|2018-01-18 03:33:52
1247|798069431-7|657|4|689|1|8646|0|1|jcb|3587546744036432|2018-01-05|2018-01-05 12:09:51|2018-01-05 12:09:51
1248|210488369-5|394|4|282|1|11126|0|1|americanexpress|374622322077560|2018-01-12|2018-01-12 09:19:35|2018-01-12 09:19:35
1249|312308164-8|108|8|158|1|8611|0|1|jcb|3535577773299370|2018-01-27|2018-01-27 19:52:59|2018-01-27 19:52:59
1250|116330435-2|311|14|901|1|11946|0|0|bankcard|5602212852207135|2018-01-27|2018-01-27 18:13:02|2018-01-27 18:13:02
1251|032316803-5|885|12|487|1|11934|0|1|mastercard|5100140728708795|2018-01-01|2018-01-01 21:39:42|2018-01-01 21:39:42
1252|385031460-X|645|6|413|1|9493|0|1|switch|4905562899897406|2018-01-20|2018-01-20 08:21:13|2018-01-20 08:21:13
1253|696390459-6|143|12|50|1|11453|0|0|mastercard|5100132972718927|2018-01-17|2018-01-17 04:19:36|2018-01-17 04:19:36
1254|020893491-X|1000|1|179|1|11506|0|1|instapayment|6396355251076466|2018-01-27|2018-01-27 01:26:49|2018-01-27 01:26:49
1255|298441955-3|824|6|674|1|7853|0|0|jcb|3579014466669575|2018-01-29|2018-01-29 11:37:30|2018-01-29 11:37:30
1256|657817444-3|52|2|759|1|9881|0|1|solo|6334961749809338|2018-01-10|2018-01-10 16:39:40|2018-01-10 16:39:40
1257|489888104-1|930|3|913|1|10790|0|0|jcb|3573134705311411|2018-01-25|2018-01-25 15:45:25|2018-01-25 15:45:25
1258|805558405-2|611|15|390|1|10972|0|1|jcb|3548312058908890|2018-01-10|2018-01-10 07:59:46|2018-01-10 07:59:46
1259|258139719-5|523|10|535|1|10119|0|1|jcb|3531182829410610|2018-01-02|2018-01-02 20:36:17|2018-01-02 20:36:17
1260|002904467-7|652|11|41|1|7880|0|0|jcb|3530897224303158|2018-01-16|2018-01-16 22:36:26|2018-01-16 22:36:26
1261|784706883-4|4|12|70|1|6774|0|0|jcb|3582482395909922|2018-01-28|2018-01-28 18:25:51|2018-01-28 18:25:51
1262|456218376-4|637|14|776|1|11600|0|0|diners-club-carte-blanche|30587241937994|2018-01-08|2018-01-08 11:48:02|2018-01-08 11:48:02
1263|932584359-5|210|8|43|1|12662|0|1|jcb|3578473266545800|2018-01-26|2018-01-26 10:41:51|2018-01-26 10:41:51
1264|240717860-2|90|11|627|1|8371|0|1|americanexpress|372301869735250|2018-01-29|2018-01-29 03:41:42|2018-01-29 03:41:42
1265|919731997-X|406|4|780|1|9780|0|1|jcb|3530567033217226|2018-01-17|2018-01-17 05:12:50|2018-01-17 05:12:50
1266|643446436-3|319|8|240|1|8803|0|0|jcb|3533154443650309|2018-01-24|2018-01-24 03:11:46|2018-01-24 03:11:46
1267|813150180-9|610|11|894|1|10460|0|1|jcb|3588610205814791|2018-01-21|2018-01-21 20:22:52|2018-01-21 20:22:52
1268|283276885-7|727|3|813|1|11018|0|1|jcb|3528063896607186|2018-01-15|2018-01-15 16:31:33|2018-01-15 16:31:33
1269|287657810-7|471|4|720|1|7789|0|1|laser|6709581470824582|2018-01-10|2018-01-10 21:08:34|2018-01-10 21:08:34
1270|278220566-8|649|10|810|1|10265|0|0|jcb|3548520362946923|2018-01-06|2018-01-06 13:35:54|2018-01-06 13:35:54
1271|270750137-9|116|5|881|1|7687|0|0|jcb|3560451149180797|2018-01-11|2018-01-11 12:35:37|2018-01-11 12:35:37
1272|961788190-X|632|14|776|1|7633|0|1|diners-club-enroute|201504003884960|2018-01-28|2018-01-28 10:30:27|2018-01-28 10:30:27
1273|417449614-5|381|4|29|1|12541|0|1|visa-electron|4844870285529234|2018-01-04|2018-01-04 14:52:28|2018-01-04 14:52:28
1274|014244992-X|656|12|771|1|10432|0|0|visa|4017954290292|2018-01-04|2018-01-04 15:35:48|2018-01-04 15:35:48
